,player_id,name,position_type,eligible_positions,percent_owned,status,league
373,26685,Christine Michael,O,RB,38,,348.l.216667
374,26702,Markus Wheaton,O,WR,43,,348.l.216667
375,26758,Denard Robinson,O,RB,70,,348.l.216667
376,26810,Andre Ellington,O,RB,47,,348.l.216667
377,26817,Spencer Ware,O,RB,43,,348.l.216667
378,27531,Blake Bortles,O,QB,86,,348.l.216667
379,27538,Eric Ebron,O,TE,30,,348.l.216667
380,27548,Brandin Cooks,O,WR,98,,348.l.216667
381,27581,Davante Adams,O,WR,68,,348.l.216667
382,27589,Allen Robinson II,O,WR,98,,348.l.216667
383,27591,Jarvis Landry,O,WR,97,,348.l.216667
384,27619,John Brown,O,WR,90,,348.l.216667
385,27624,Jerick McKinnon,O,RB,10,,348.l.216667
386,27626,Richard Rodgers,O,TE,59,,348.l.216667
387,27631,Devonta Freeman,O,RB,98,,348.l.216667
388,27658,James White,O,RB,57,,348.l.216667
389,27709,Alfred Blue,O,RB,39,,348.l.216667
390,27874,Allen Hurns,O,WR,82,,348.l.216667
391,28026,Willie Snead IV,O,WR,53,,348.l.216667
392,28044,Charcandrick West,O,RB,87,,348.l.216667
393,28103,Chandler Catanzaro,K,K,64,,348.l.216667
394,28227,Cairo Santos,K,K,57,,348.l.216667
395,28392,Amari Cooper,O,WR,97,,348.l.216667
396,28398,Todd Gurley II,O,RB,98,,348.l.216667
397,28402,DeVante Parker,O,WR,33,,348.l.216667
398,28428,Dorial Green-Beckham,O,WR,23,,348.l.216667
399,28457,Tyler Lockett,O,WR,67,,348.l.216667
400,28461,Tevin Coleman,O,RB,30,,348.l.216667
401,28474,David Johnson,O,RB,90,,348.l.216667
402,28483,Matt Jones,O,RB,43,,348.l.216667
403,28494,Jeremy Langford,O,RB,66,,348.l.216667
404,28513,Javorius Allen,O,RB,70,,348.l.216667
405,28534,Stefon Diggs,O,WR,56,,348.l.216667
406,28543,Karlos Williams,O,RB,59,,348.l.216667
407,28562,Cameron Artis-Payne,O,RB,43,,348.l.216667
408,24830,Kyle Rudolph,O,TE,86,,359.l.287220
410,26658,Zach Ertz,O,TE,88,,359.l.287220
412,27277,Adam Thielen,O,WR,32,,359.l.287220
414,28267,Cameron Brate,O,TE,80,,359.l.287220
416,28389,Jameis Winston,O,QB,83,,359.l.287220
417,28403,Melvin Gordon,O,RB,92,,359.l.287220
419,28482,Ty Montgomery,O,WR,83,,359.l.287220
420,28482,Ty Montgomery,O,RB,83,,359.l.287220
422,29238,Ezekiel Elliott,O,RB,100,,359.l.287220
424,29274,Sterling Shepard,O,WR,79,,359.l.287220
426,29279,Derrick Henry,O,RB,47,,359.l.287220
428,29281,Michael Thomas,O,WR,90,,359.l.287220
430,29369,Dak Prescott,O,QB,87,,359.l.287220
431,29399,Tyreek Hill,O,WR,85,,359.l.287220
433,26721,Matt Barkley,O,QB,5,,359.l.370526
435,29288,Tyler Boyd,O,WR,39,,359.l.370526
437,26483,Case Keenum,O,QB,77,,371.l.347949
