,player_name,position,player_url,position_rank
6,DeVante Parker,WR,https://sports.yahoo.com/nfl/players/28402,322
7,Tim Patrick,WR,https://sports.yahoo.com/nfl/players/30511,323
8,Keke Coutee,WR,https://sports.yahoo.com/nfl/players/31073,324
9,Pierre Garcon,WR,https://sports.yahoo.com/nfl/players/8982,328
10,Maurice Harris,WR,https://sports.yahoo.com/nfl/players/29638,329
11,Terrelle Pryor Sr.,WR,https://sports.yahoo.com/nfl/players/25681,330
12,Bruce Ellington,WR,https://sports.yahoo.com/nfl/players/27634,332
13,Ted Ginn Jr.,WR,https://sports.yahoo.com/nfl/players/8263,333
14,Equanimeous St. Brown,WR,https://sports.yahoo.com/nfl/players/31177,334
15,Isaiah McKenzie,WR,https://sports.yahoo.com/nfl/players/30285,335
16,Trent Taylor,WR,https://sports.yahoo.com/nfl/players/30290,341
17,Torrey Smith,WR,https://sports.yahoo.com/nfl/players/24845,343
18,TJ Jones,WR,https://sports.yahoo.com/nfl/players/27717,347
19,Keith Kirkwood,WR,https://sports.yahoo.com/nfl/players/31517,350
20,Chris Moore,WR,https://sports.yahoo.com/nfl/players/29341,359
21,Trent Sherfield,WR,https://sports.yahoo.com/nfl/players/31320,361
22,Martavis Bryant,WR,https://sports.yahoo.com/nfl/players/27646,362
23,Russell Shepard,WR,https://sports.yahoo.com/nfl/players/27055,365
24,James Washington,WR,https://sports.yahoo.com/nfl/players/31030,366
0,Tavon Austin,WR,https://sports.yahoo.com/nfl/players/26631,368
1,Travis Benjamin,WR,https://sports.yahoo.com/nfl/players/25810,370
2,Bennie Fowler III,WR,https://sports.yahoo.com/nfl/players/27826,371
3,Chad Williams,WR,https://sports.yahoo.com/nfl/players/30211,378
4,Justin Hardy,WR,https://sports.yahoo.com/nfl/players/28495,381
5,Brandon LaFell,WR,https://sports.yahoo.com/nfl/players/24053,384
6,DeAndre Carter,WR,https://sports.yahoo.com/nfl/players/28947,386
7,Andre Roberts,WR,https://sports.yahoo.com/nfl/players/24063,389
8,Cody Core,WR,https://sports.yahoo.com/nfl/players/29433,391
