player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort
Darrell Henderson Jr.,https://sports.yahoo.com/nfl/players/31902,RB,$2 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Oct 16, 4:33 am",0,2,"Darrell Henderson Jr.Marquez Exxon ValdezOct 16, 4:33 am2"
Arizona,https://sports.yahoo.com/nfl/teams/arizona/,DEF,$11 Waiver,,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Oct 16, 4:33 am",0,11,"ArizonaTurnUrHead&GoffOct 16, 4:33 am11"
Gerald Everett,https://sports.yahoo.com/nfl/players/30157,TE,$1 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Oct 9, 4:23 am",0,1,"Gerald EverettMAGA CrackerOct 9, 4:23 am1"
Teddy Bridgewater,https://sports.yahoo.com/nfl/players/27560,QB,$2 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Oct 9, 4:23 am",0,2,"Teddy BridgewaterMarquez Exxon ValdezOct 9, 4:23 am2"
Cam Newton,https://sports.yahoo.com/nfl/players/24788,QB,$8 Waiver,,Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Oct 9, 4:23 am",0,8,"Cam NewtonRockin a ChubbOct 9, 4:23 am8"
Chris Herndon,https://sports.yahoo.com/nfl/players/31077,TE,$1 Waiver,,WeEatinGOOD,https://football.fantasysports.yahoo.com/2019/f1/102231/7,"Oct 2, 4:23 am",0,1,"Chris HerndonWeEatinGOODOct 2, 4:23 am1"
Chris Thompson,https://sports.yahoo.com/nfl/players/26777,RB,$1 Waiver,,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Sep 25, 4:48 am",0,1,"Chris ThompsonTurnUrHead&GoffSep 25, 4:48 am1"
T.J. Hockenson,https://sports.yahoo.com/nfl/players/31840,TE,$1 Waiver,,Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Sep 25, 4:48 am",0,1,"T.J. HockensonRockin a ChubbSep 25, 4:48 am1"
Nelson Agholor,https://sports.yahoo.com/nfl/players/28408,WR,$3 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Sep 25, 4:48 am",0,3,"Nelson AgholorMAGA CrackerSep 25, 4:48 am3"
Darrel Williams,https://sports.yahoo.com/nfl/players/31500,RB,$6 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Sep 25, 4:48 am",0,6,"Darrel WilliamsMarquez Exxon ValdezSep 25, 4:48 am6"
Case Keenum,https://sports.yahoo.com/nfl/players/26483,QB,$9 Waiver,,FonziFonarelli,https://football.fantasysports.yahoo.com/2019/f1/102231/2,"Sep 25, 4:48 am",0,9,"Case KeenumFonziFonarelliSep 25, 4:48 am9"
Gardner Minshew,https://sports.yahoo.com/nfl/players/32010,QB,$17 Waiver,,fuMinshew,https://football.fantasysports.yahoo.com/2019/f1/102231/6,"Sep 25, 4:48 am",0,17,"Gardner MinshewfuMinshewSep 25, 4:48 am17"
Wayne Gallman,https://sports.yahoo.com/nfl/players/30253,RB,$19 Waiver,,Brown Rehab Facility,https://football.fantasysports.yahoo.com/2019/f1/102231/8,"Sep 25, 4:48 am",0,19,"Wayne GallmanBrown Rehab FacilitySep 25, 4:48 am19"
Justice Hill,https://sports.yahoo.com/nfl/players/31945,RB,$3 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Sep 20, 3:26 am",0,3,"Justice HillMarquez Exxon ValdezSep 20, 3:26 am3"
