,player_name,position,player_url,score
1,Josh Reynolds,WR,https://sports.yahoo.com/nfl/players/30230,124.0
2,Hollywood Brown,WR,https://sports.yahoo.com/nfl/players/31857,123.55
3,Elijah Moore,WR,https://sports.yahoo.com/nfl/players/33422,118.6
4,Wan'Dale Robinson,WR,https://sports.yahoo.com/nfl/players/33998,116.33
5,Dontayvion Wicks,WR,https://sports.yahoo.com/nfl/players/40201,114.93
6,Jahan Dotson,WR,https://sports.yahoo.com/nfl/players/33971,113.25
7,DJ Chark,WR,https://sports.yahoo.com/nfl/players/31031,111.13
8,Michael Wilson,WR,https://sports.yahoo.com/nfl/players/40121,109.63
9,K.J. Osborn,WR,https://sports.yahoo.com/nfl/players/32846,109.5
10,Khalil Shakir,WR,https://sports.yahoo.com/nfl/players/34104,108.88
11,Tutu Atwell,WR,https://sports.yahoo.com/nfl/players/33445,104.98
12,Odell Beckham Jr.,WR,https://sports.yahoo.com/nfl/players/27540,104.13
13,Joshua Palmer,WR,https://sports.yahoo.com/nfl/players/33465,102.23
14,Noah Brown,WR,https://sports.yahoo.com/nfl/players/30352,99.28
15,Christian Watson,WR,https://sports.yahoo.com/nfl/players/33989,97.85
16,DeMario Douglas,WR,https://sports.yahoo.com/nfl/players/40222,96.73
17,Rondale Moore,WR,https://sports.yahoo.com/nfl/players/33437,93.8
18,Alec Pierce,WR,https://sports.yahoo.com/nfl/players/34008,92.25
19,Kalif Raymond,WR,https://sports.yahoo.com/nfl/players/29631,92.13
20,Kendrick Bourne,WR,https://sports.yahoo.com/nfl/players/30551,91.65
21,Nelson Agholor,WR,https://sports.yahoo.com/nfl/players/28408,89.13
22,Justin Watson,WR,https://sports.yahoo.com/nfl/players/31114,87.0
23,Trey Palmer,WR,https://sports.yahoo.com/nfl/players/40223,85.83
24,Quentin Johnston,WR,https://sports.yahoo.com/nfl/players/40051,85.78
0,Demarcus Robinson,WR,https://sports.yahoo.com/nfl/players/29360,83.68
1,Michael Thomas,WR,https://sports.yahoo.com/nfl/players/29281,81.5
2,Michael Gallup,WR,https://sports.yahoo.com/nfl/players/31051,81.25
3,Nick Westbrook-Ikhine,WR,https://sports.yahoo.com/nfl/players/33348,80.25
4,Robert Woods,WR,https://sports.yahoo.com/nfl/players/26664,79.95
5,Jameson Williams,WR,https://sports.yahoo.com/nfl/players/33967,77.15
6,Darnell Mooney,WR,https://sports.yahoo.com/nfl/players/32843,73.75
7,Jonathan Mingo,WR,https://sports.yahoo.com/nfl/players/40073,73.75
8,Brandon Johnson,WR,https://sports.yahoo.com/nfl/players/34571,71.0
9,Tre Tucker,WR,https://sports.yahoo.com/nfl/players/40114,70.58
10,Rashod Bateman,WR,https://sports.yahoo.com/nfl/players/33415,69.68
11,Zay Jones,WR,https://sports.yahoo.com/nfl/players/30150,69.13
12,Marvin Mims Jr.,WR,https://sports.yahoo.com/nfl/players/40090,69.13
13,Chris Moore,WR,https://sports.yahoo.com/nfl/players/29341,67.9
14,Cedrick Wilson Jr.,WR,https://sports.yahoo.com/nfl/players/31178,66.0
15,DeVante Parker,WR,https://sports.yahoo.com/nfl/players/28402,65.75
16,A.T. Perry,WR,https://sports.yahoo.com/nfl/players/40242,60.75
17,Brandon Powell,WR,https://sports.yahoo.com/nfl/players/31641,60.7
18,Greg Dortch,WR,https://sports.yahoo.com/nfl/players/32523,59.5
19,Jalin Hyatt,WR,https://sports.yahoo.com/nfl/players/40128,58.13
20,Trenton Irwin,WR,https://sports.yahoo.com/nfl/players/32438,58.0
21,KaVontae Turpin,WR,https://sports.yahoo.com/nfl/players/34709,56.88
22,Allen Lazard,WR,https://sports.yahoo.com/nfl/players/31268,56.38
23,Isaiah Hodgins,WR,https://sports.yahoo.com/nfl/players/32877,55.25
24,Jalen Tolbert,WR,https://sports.yahoo.com/nfl/players/34044,54.5
0,Xavier Gipson,WR,https://sports.yahoo.com/nfl/players/40548,53.93
1,Marquez Valdes-Scantling,WR,https://sports.yahoo.com/nfl/players/31144,53.88
2,JuJu Smith-Schuster,WR,https://sports.yahoo.com/nfl/players/30175,53.0
3,Jake Bobo,WR,https://sports.yahoo.com/nfl/players/40452,52.3
4,Allen Robinson II,WR,https://sports.yahoo.com/nfl/players/27589,52.0
5,Braxton Berrios,WR,https://sports.yahoo.com/nfl/players/31180,50.35
6,Skyy Moore,WR,https://sports.yahoo.com/nfl/players/34009,49.3
7,Calvin Austin III,WR,https://sports.yahoo.com/nfl/players/34094,48.7
8,Jauan Jennings,WR,https://sports.yahoo.com/nfl/players/32887,48.63
9,Mike Williams,WR,https://sports.yahoo.com/nfl/players/30120,46.93
10,Andrei Iosivas,WR,https://sports.yahoo.com/nfl/players/40211,46.0
11,David Bell,WR,https://sports.yahoo.com/nfl/players/34055,45.88
12,Lil'Jordan Humphrey,WR,https://sports.yahoo.com/nfl/players/32494,44.75
13,Kadarius Toney,WR,https://sports.yahoo.com/nfl/players/33408,43.73
14,Bo Melton,WR,https://sports.yahoo.com/nfl/players/34185,43.35
15,Alex Erickson,WR,https://sports.yahoo.com/nfl/players/29703,43.0
16,Hunter Renfrow,WR,https://sports.yahoo.com/nfl/players/31981,42.38
17,Mack Hollins,WR,https://sports.yahoo.com/nfl/players/30231,40.38
18,Cedric Tillman,WR,https://sports.yahoo.com/nfl/players/40093,39.3
19,Jamal Agnew,WR,https://sports.yahoo.com/nfl/players/30278,38.93
20,Scotty Miller,WR,https://sports.yahoo.com/nfl/players/32040,37.63
21,Olamide Zaccheaus,WR,https://sports.yahoo.com/nfl/players/32123,37.5
22,Treylon Burks,WR,https://sports.yahoo.com/nfl/players/33973,37.43
23,Van Jefferson,WR,https://sports.yahoo.com/nfl/players/32727,36.53
24,Deonte Harty,WR,https://sports.yahoo.com/nfl/players/32398,36.25
0,KhaDarel Hodge,WR,https://sports.yahoo.com/nfl/players/31769,36.0
1,Parker Washington,WR,https://sports.yahoo.com/nfl/players/40234,34.5
2,Dyami Brown,WR,https://sports.yahoo.com/nfl/players/33470,33.2
3,Julio Jones,WR,https://sports.yahoo.com/nfl/players/24793,32.75
4,Jamison Crowder,WR,https://sports.yahoo.com/nfl/players/28493,31.88
5,Tyler Scott,WR,https://sports.yahoo.com/nfl/players/40141,31.6
6,Quez Watkins,WR,https://sports.yahoo.com/nfl/players/32870,31.25
7,Derius Davis,WR,https://sports.yahoo.com/nfl/players/40133,29.85
8,Ihmir Smith-Marsette,WR,https://sports.yahoo.com/nfl/players/33545,29.78
9,Ronnie Bell,WR,https://sports.yahoo.com/nfl/players/40279,29.5
10,Malik Heath,WR,https://sports.yahoo.com/nfl/players/40445,29.13
11,Deven Thompkins,WR,https://sports.yahoo.com/nfl/players/34520,28.48
12,Jalen Reagor,WR,https://sports.yahoo.com/nfl/players/32691,28.45
13,John Metchie III,WR,https://sports.yahoo.com/nfl/players/33999,28.15
14,Kyle Philips,WR,https://sports.yahoo.com/nfl/players/34119,28.13
15,Terrace Marshall Jr.,WR,https://sports.yahoo.com/nfl/players/33447,26.88
16,Ray-Ray McCloud,WR,https://sports.yahoo.com/nfl/players/31157,25.88
17,Donovan Peoples-Jones,WR,https://sports.yahoo.com/nfl/players/32857,25.88
18,River Cracraft,WR,https://sports.yahoo.com/nfl/players/30955,25.63
19,Byron Pringle,WR,https://sports.yahoo.com/nfl/players/31496,25.13
20,Robbie Chosen,WR,https://sports.yahoo.com/nfl/players/29785,23.75
21,Parris Campbell,WR,https://sports.yahoo.com/nfl/players/31891,23.0
22,Tyquan Thornton,WR,https://sports.yahoo.com/nfl/players/34005,22.98
23,Trent Sherfield Sr.,WR,https://sports.yahoo.com/nfl/players/31320,22.25
24,Jalen Guyton,WR,https://sports.yahoo.com/nfl/players/32201,22.13
0,Mecole Hardman,WR,https://sports.yahoo.com/nfl/players/31888,21.3
1,David Moore,WR,https://sports.yahoo.com/nfl/players/30339,20.25
2,Xavier Hutchinson,WR,https://sports.yahoo.com/nfl/players/40232,20.15
3,Chase Claypool,WR,https://sports.yahoo.com/nfl/players/32719,19.63
4,Ben Skowronek,WR,https://sports.yahoo.com/nfl/players/33637,19.15
5,Lynn Bowden Jr.,WR,https://sports.yahoo.com/nfl/players/32750,19.08
