player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort,season
Eli Manning,https://sports.yahoo.com/nfl/players/6760,QB,$1 Waiver,,Fetty Watt,https://football.fantasysports.yahoo.com/2017/f1/347949/8,"Oct 18, 4:39 am",0,1,"Eli ManningFetty WattOct 18, 4:39 am1",2017
Jared Goff,https://sports.yahoo.com/nfl/players/29235,QB,$2 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Oct 18, 4:39 am",0,2,"Jared GoffMagic Skol BusOct 18, 4:39 am2",2017
Minnesota,https://sports.yahoo.com/nfl/teams/minnesota/,DEF,$8 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Oct 18, 4:39 am",0,8,"MinnesotaMagic Skol BusOct 18, 4:39 am8",2017
Sterling Shepard,https://sports.yahoo.com/nfl/players/29274,WR,$1 Waiver,,Fetty Watt,https://football.fantasysports.yahoo.com/2017/f1/347949/8,"Oct 13, 3:33 am",0,1,"Sterling ShepardFetty WattOct 13, 3:33 am1",2017
Jacoby Brissett,https://sports.yahoo.com/nfl/players/29325,QB,$4 Waiver,,BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Oct 13, 3:33 am",0,4,"Jacoby BrissettBryanIsATamponOct 13, 3:33 am4",2017
Taylor Gabriel,https://sports.yahoo.com/nfl/players/28234,WR,$1 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Oct 11, 4:59 am",0,1,"Taylor GabrielUGotAnyGamesOnUrPhonOct 11, 4:59 am1",2017
Jaron Brown,https://sports.yahoo.com/nfl/players/27074,WR,$1 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Oct 11, 4:59 am",0,1,"Jaron BrownUGotAnyGamesOnUrPhonOct 11, 4:59 am1",2017
Baltimore,https://sports.yahoo.com/nfl/teams/baltimore/,DEF,$1 Waiver,,BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Oct 11, 4:59 am",0,1,"BaltimoreBryanIsATamponOct 11, 4:59 am1",2017
Jamison Crowder,https://sports.yahoo.com/nfl/players/28493,WR,$2 Waiver,,Kareem'd my Pants,https://football.fantasysports.yahoo.com/2017/f1/347949/6,"Oct 11, 4:59 am",0,2,"Jamison CrowderKareem'd my PantsOct 11, 4:59 am2",2017
Elijah McGuire,https://sports.yahoo.com/nfl/players/30301,RB,$5 Waiver,,The Brady Bunch,https://football.fantasysports.yahoo.com/2017/f1/347949/4,"Oct 11, 4:59 am",0,5,"Elijah McGuireThe Brady BunchOct 11, 4:59 am5",2017
Mike Williams,https://sports.yahoo.com/nfl/players/30120,WR,$5 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Oct 11, 4:59 am",0,5,"Mike WilliamsMagic Skol BusOct 11, 4:59 am5",2017
Jacksonville,https://sports.yahoo.com/nfl/teams/jacksonville/,DEF,$6 Waiver,,Fetty Watt,https://football.fantasysports.yahoo.com/2017/f1/347949/8,"Oct 11, 4:59 am",0,6,"JacksonvilleFetty WattOct 11, 4:59 am6",2017
Marlon Mack,https://sports.yahoo.com/nfl/players/30256,RB,$7 Waiver,,BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Oct 11, 4:59 am",0,7,"Marlon MackBryanIsATamponOct 11, 4:59 am7",2017
Jared Goff,https://sports.yahoo.com/nfl/players/29235,QB,$12 Waiver,,BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Oct 7, 4:10 am",0,12,"Jared GoffBryanIsATamponOct 7, 4:10 am12",2017
DeShone Kizer,https://sports.yahoo.com/nfl/players/30165,QB,$1 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Oct 4, 5:26 am",0,1,"DeShone KizerUGotAnyGamesOnUrPhonOct 4, 5:26 am1",2017
Dion Lewis,https://sports.yahoo.com/nfl/players/24936,RB,$1 Waiver,,Dezspacito,https://football.fantasysports.yahoo.com/2017/f1/347949/2,"Oct 4, 5:26 am",0,1,"Dion LewisDezspacitoOct 4, 5:26 am1",2017
Philadelphia,https://sports.yahoo.com/nfl/teams/philadelphia/,DEF,$1 Waiver,,Golladayum,https://football.fantasysports.yahoo.com/2017/f1/347949/3,"Oct 4, 5:26 am",0,1,"PhiladelphiaGolladayumOct 4, 5:26 am1",2017
Buffalo,https://sports.yahoo.com/nfl/teams/buffalo/,DEF,$1 Waiver,,The Juice Is Loose,https://football.fantasysports.yahoo.com/2017/f1/347949/10,"Oct 4, 5:26 am",0,1,"BuffaloThe Juice Is LooseOct 4, 5:26 am1",2017
Jaron Brown,https://sports.yahoo.com/nfl/players/27074,WR,$3 Waiver,,BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Oct 4, 5:26 am",0,3,"Jaron BrownBryanIsATamponOct 4, 5:26 am3",2017
LeGarrette Blount,https://sports.yahoo.com/nfl/players/24318,RB,$5 Waiver,,Dezspacito,https://football.fantasysports.yahoo.com/2017/f1/347949/2,"Oct 4, 5:26 am",0,5,"LeGarrette BlountDezspacitoOct 4, 5:26 am5",2017
Atlanta,https://sports.yahoo.com/nfl/teams/atlanta/,DEF,$1 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Sep 27, 4:30 am",0,1,"AtlantaUGotAnyGamesOnUrPhonSep 27, 4:30 am1",2017
Wendell Smallwood,https://sports.yahoo.com/nfl/players/29387,RB,$1 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Sep 27, 4:30 am",0,1,"Wendell SmallwoodMagic Skol BusSep 27, 4:30 am1",2017
Evan Engram,https://sports.yahoo.com/nfl/players/30136,TE,$2 Waiver,,CantStopWontStop,https://football.fantasysports.yahoo.com/2017/f1/347949/5,"Sep 27, 4:30 am",0,2,"Evan EngramCantStopWontStopSep 27, 4:30 am2",2017
Charles Clay,https://sports.yahoo.com/nfl/players/24961,TE,$5 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Sep 27, 4:30 am",0,5,"Charles ClayMagic Skol BusSep 27, 4:30 am5",2017
Sterling Shepard,https://sports.yahoo.com/nfl/players/29274,WR,$15 Waiver,,CantStopWontStop,https://football.fantasysports.yahoo.com/2017/f1/347949/5,"Sep 27, 4:30 am",0,15,"Sterling ShepardCantStopWontStopSep 27, 4:30 am15",2017
Mohamed Sanu,https://sports.yahoo.com/nfl/players/25793,WR,$1 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Sep 20, 4:33 am",0,1,"Mohamed SanuUGotAnyGamesOnUrPhonSep 20, 4:33 am1",2017
Alvin Kamara,https://sports.yahoo.com/nfl/players/30180,RB,$1 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Sep 20, 4:33 am",0,1,"Alvin KamaraMagic Skol BusSep 20, 4:33 am1",2017
Rishard Matthews,https://sports.yahoo.com/nfl/players/25937,WR,$1 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Sep 20, 4:33 am",0,1,"Rishard MatthewsMagic Skol BusSep 20, 4:33 am1",2017
Miami,https://sports.yahoo.com/nfl/teams/miami/,DEF,$2 Waiver,,BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Sep 20, 4:33 am",0,2,"MiamiBryanIsATamponSep 20, 4:33 am2",2017
Rashard Higgins,https://sports.yahoo.com/nfl/players/29406,WR,$6 Waiver,,Fetty Watt,https://football.fantasysports.yahoo.com/2017/f1/347949/8,"Sep 20, 4:33 am",0,6,"Rashard HigginsFetty WattSep 20, 4:33 am6",2017
Austin Hooper,https://sports.yahoo.com/nfl/players/29315,TE,$1 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Sep 13, 4:57 am",0,1,"Austin HooperMagic Skol BusSep 13, 4:57 am1",2017
Chris Carson,https://sports.yahoo.com/nfl/players/30362,RB,$5 Waiver,,Dezspacito,https://football.fantasysports.yahoo.com/2017/f1/347949/2,"Sep 13, 4:57 am",0,5,"Chris CarsonDezspacitoSep 13, 4:57 am5",2017
Chris Thompson,https://sports.yahoo.com/nfl/players/26777,RB,$6 Waiver,,The Juice Is Loose,https://football.fantasysports.yahoo.com/2017/f1/347949/10,"Sep 13, 4:57 am",0,6,"Chris ThompsonThe Juice Is LooseSep 13, 4:57 am6",2017
Kenny Golladay,https://sports.yahoo.com/nfl/players/30209,WR,$15 Waiver,,Golladayum,https://football.fantasysports.yahoo.com/2017/f1/347949/3,"Sep 13, 4:57 am",0,15,"Kenny GolladayGolladayumSep 13, 4:57 am15",2017
Kerwynn Williams,https://sports.yahoo.com/nfl/players/26853,RB,$27 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Sep 13, 4:57 am",0,27,"Kerwynn WilliamsUGotAnyGamesOnUrPhonSep 13, 4:57 am27",2017
Danny Woodhead,https://sports.yahoo.com/nfl/players/9560,RB,$2 Waiver,,Kareem'd my Pants,https://football.fantasysports.yahoo.com/2017/f1/347949/6,"Sep 9, 3:26 am",0,2,"Danny WoodheadKareem'd my PantsSep 9, 3:26 am2",2017
Joe Flacco,https://sports.yahoo.com/nfl/players/8795,QB,$1 Waiver,,Fetty Watt,https://football.fantasysports.yahoo.com/2017/f1/347949/8,"Sep 8, 3:25 am",0,1,"Joe FlaccoFetty WattSep 8, 3:25 am1",2017
Pittsburgh,https://sports.yahoo.com/nfl/teams/pittsburgh/,DEF,$1 Waiver,,BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Aug 28, 3:26 am",0,1,"PittsburghBryanIsATamponAug 28, 3:26 am1",2017
Sam Bradford,https://sports.yahoo.com/nfl/players/23976,QB,$1 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Aug 28, 3:26 am",0,1,"Sam BradfordMagic Skol BusAug 28, 3:26 am1",2017
Arizona,https://sports.yahoo.com/nfl/teams/arizona/,DEF,$1 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Aug 28, 3:26 am",0,1,"ArizonaMagic Skol BusAug 28, 3:26 am1",2017
John Brown,https://sports.yahoo.com/nfl/players/27619,WR,$2 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Aug 28, 3:26 am",0,2,"John BrownMagic Skol BusAug 28, 3:26 am2",2017
James White,https://sports.yahoo.com/nfl/players/27658,RB,$2 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Aug 28, 3:26 am",0,2,"James WhiteMagic Skol BusAug 28, 3:26 am2",2017
Corey Coleman,https://sports.yahoo.com/nfl/players/29249,WR,$3 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Aug 28, 3:26 am",0,3,"Corey ColemanMagic Skol BusAug 28, 3:26 am3",2017
DeSean Jackson,https://sports.yahoo.com/nfl/players/8826,WR,$3 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Aug 28, 3:26 am",0,3,"DeSean JacksonMagic Skol BusAug 28, 3:26 am3",2017
LeGarrette Blount,https://sports.yahoo.com/nfl/players/24318,RB,$4 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Aug 28, 3:26 am",0,4,"LeGarrette BlountMagic Skol BusAug 28, 3:26 am4",2017
Chris Johnson,https://sports.yahoo.com/nfl/players/8801,RB,$6 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Aug 28, 3:26 am",0,6,"Chris JohnsonUGotAnyGamesOnUrPhonAug 28, 3:26 am6",2017
New England,https://sports.yahoo.com/nfl/teams/new-england/,DEF,$7 Waiver,,The Juice Is Loose,https://football.fantasysports.yahoo.com/2017/f1/347949/10,"Aug 28, 3:26 am",0,7,"New EnglandThe Juice Is LooseAug 28, 3:26 am7",2017
Miami,https://sports.yahoo.com/nfl/teams/miami/,DEF,$2 Winning Offer,"[['WoW', 'https://football.fantasysports.yahoo.com/2018/f1/153194/8', '$1 (Lower Offer)']]",CantStopWontStop,https://football.fantasysports.yahoo.com/2018/f1/153194/3,"Dec 19, 4:37 am",1,2,"MiamiCantStopWontStopDec 19, 4:37 am2",2018
Chosen Anderson,https://sports.yahoo.com/nfl/players/29785,WR,$3 Winning Offer,"[['Captain Crunch', 'https://football.fantasysports.yahoo.com/2018/f1/153194/7', '$0 (Lower Offer)']]",CantStopWontStop,https://football.fantasysports.yahoo.com/2018/f1/153194/3,"Dec 19, 4:37 am",1,3,"Chosen AndersonCantStopWontStopDec 19, 4:37 am3",2018
Derrick Henry,https://sports.yahoo.com/nfl/players/29279,RB,$19 Winning Offer,"[['WoW', 'https://football.fantasysports.yahoo.com/2018/f1/153194/8', '$10 (Lower Offer)'], ['CantStopWontStop', 'https://football.fantasysports.yahoo.com/2018/f1/153194/3', '$6 (Lower Offer)']]",TheVikingsCurse,https://football.fantasysports.yahoo.com/2018/f1/153194/1,"Dec 12, 5:06 am",1,19,"Derrick HenryTheVikingsCurseDec 12, 5:06 am19",2018
Austin Ekeler,https://sports.yahoo.com/nfl/players/30423,RB,$25 Winning Offer,"[['TheVikingsCurse', 'https://football.fantasysports.yahoo.com/2018/f1/153194/1', '$20 (Lower Offer)'], ['Zee-kee DoULoveMe?', 'https://football.fantasysports.yahoo.com/2018/f1/153194/10', '$18 (Lower Offer)'], ['Scott=FreeWin', 'https://football.fantasysports.yahoo.com/2018/f1/153194/9', '$9 (Lower Offer)'], ['CantStopWontStop', 'https://football.fantasysports.yahoo.com/2018/f1/153194/3', '$9 (Lower Offer)'], ['KENNY G BABY', 'https://football.fantasysports.yahoo.com/2018/f1/153194/6', '$0 (Lower Offer)']]",WoW,https://football.fantasysports.yahoo.com/2018/f1/153194/8,"Nov 28, 4:51 am",1,25,"Austin EkelerWoWNov 28, 4:51 am25",2018
DJ Moore,https://sports.yahoo.com/nfl/players/30994,WR,$4 Winning Offer,"[['Captain Crunch', 'https://football.fantasysports.yahoo.com/2018/f1/153194/7', '$4 (Lower waiver priority)'], ['KENNY G BABY', 'https://football.fantasysports.yahoo.com/2018/f1/153194/6', '$0 (Lower Offer)']]",DeshaunJJWattson,https://football.fantasysports.yahoo.com/2018/f1/153194/5,"Nov 21, 4:57 am",1,4,"DJ MooreDeshaunJJWattsonNov 21, 4:57 am4",2018
Tre'Quan Smith,https://sports.yahoo.com/nfl/players/31061,WR,$8 Winning Offer,"[['KENNY G BABY', 'https://football.fantasysports.yahoo.com/2018/f1/153194/6', '$0 (Lower Offer)']]",Captain Crunch,https://football.fantasysports.yahoo.com/2018/f1/153194/7,"Nov 21, 4:57 am",1,8,"Tre'Quan SmithCaptain CrunchNov 21, 4:57 am8",2018
Rashaad Penny,https://sports.yahoo.com/nfl/players/30997,RB,$9 Winning Offer,"[['DeshaunJJWattson', 'https://football.fantasysports.yahoo.com/2018/f1/153194/5', '$5 (Lower Offer)']]",CantStopWontStop,https://football.fantasysports.yahoo.com/2018/f1/153194/3,"Nov 14, 5:57 am",1,9,"Rashaad PennyCantStopWontStopNov 14, 5:57 am9",2018
