Unnamed: 0,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url,league_id,manager_key
5,RB,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=12&mid1=1&mid2=4,T. Coleman ,https://sports.yahoo.com/nfl/players/28461,9.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
6,TE,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=12&mid1=1&mid2=4,R. Rodgers ,https://sports.yahoo.com/nfl/players/27626,3.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
7,K,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=12&mid1=1&mid2=4,N. Novak ,https://sports.yahoo.com/nfl/players/7505,6.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
8,DEF,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=12&mid1=1&mid2=4,Houston  - DEF ,https://sports.yahoo.com/nfl/teams/houston/,11.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
0,QB,1,5,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=13&mid1=1&mid2=5,M. Stafford ,https://sports.yahoo.com/nfl/players/9265,17.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
1,WR,1,5,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=13&mid1=1&mid2=5,D. Thomas ,https://sports.yahoo.com/nfl/players/23997,12.1,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
2,WR,1,5,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=13&mid1=1&mid2=5,J. Jones ,https://sports.yahoo.com/nfl/players/24793,9.3,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
3,WR,1,5,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=13&mid1=1&mid2=5,D. Baldwin ,https://sports.yahoo.com/nfl/players/25105,21.4,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
4,RB,1,5,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=13&mid1=1&mid2=5,D. Williams ,https://sports.yahoo.com/nfl/players/7776,14.5,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
5,RB,1,5,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=13&mid1=1&mid2=5,D. Freeman ,https://sports.yahoo.com/nfl/players/27631,10.3,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
6,TE,1,5,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=13&mid1=1&mid2=5,R. Rodgers ,https://sports.yahoo.com/nfl/players/27626,20.6,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
7,K,1,5,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=13&mid1=1&mid2=5,B. McManus ,https://sports.yahoo.com/nfl/players/27120,5.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
8,DEF,1,5,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=13&mid1=1&mid2=5,Chicago  - DEF ,https://sports.yahoo.com/nfl/teams/chicago/,7.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
0,QB,2,1,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=2&mid2=1,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,23.06,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
1,WR,2,1,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=2&mid2=1,D. Hopkins ,https://sports.yahoo.com/nfl/players/26650,23.8,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
2,WR,2,1,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=2&mid2=1,B. Cooks ,https://sports.yahoo.com/nfl/players/27548,5.3,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
3,WR,2,1,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=2&mid2=1,J. Brown ,https://sports.yahoo.com/nfl/players/27619,10.6,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
4,RB,2,1,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=2&mid2=1,C. Ivory ,https://sports.yahoo.com/nfl/players/24400,22.0,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
5,RB,2,1,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=2&mid2=1,T. Yeldon ,https://sports.yahoo.com/nfl/players/28424,6.7,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
6,TE,2,1,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=2&mid2=1,M. Bennett ,https://sports.yahoo.com/nfl/players/8838,11.5,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
7,K,2,1,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=2&mid2=1,S. Gostkowski ,https://sports.yahoo.com/nfl/players/7867,4.0,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
8,DEF,2,1,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=2&mid2=1,Los Angeles  - DEF ,https://sports.yahoo.com/nfl/teams/la-rams/,8.0,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
0,QB,2,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=2&mid2=10,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,22.26,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
1,WR,2,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=2&mid2=10,D. Hopkins ,https://sports.yahoo.com/nfl/players/26650,5.3,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
2,WR,2,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=2&mid2=10,B. Cooks ,https://sports.yahoo.com/nfl/players/27548,5.8,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
3,WR,2,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=2&mid2=10,J. Brown ,https://sports.yahoo.com/nfl/players/27619,4.5,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
4,RB,2,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=2&mid2=10,C. Ivory ,https://sports.yahoo.com/nfl/players/24400,6.0,Cooks & Books,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.2
