Unnamed: 0,position,manager_id,opponent_id,matchup_url,player,player_url,player_id,score,manager,league_url,league_id,manager_key
8,DEF,9,2,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=4&mid1=9&mid2=2,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,21.5,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231,102231,102231.9
8,DEF,9,4,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=5&mid1=9&mid2=4,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,12.5,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231,102231,102231.9
8,DEF,9,1,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=6&mid1=9&mid2=1,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,8.5,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231,102231,102231.9
8,DEF,9,7,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=7&mid1=9&mid2=7,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,8.5,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231,102231,102231.9
8,DEF,9,5,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=8&mid1=9&mid2=5,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,15,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231,102231,102231.9
8,DEF,9,3,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=9&mid1=9&mid2=3,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,10,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231,102231,102231.9
8,DEF,9,10,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=10&mid1=9&mid2=10,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,15,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231,102231,102231.9
9,DEF,9,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=12&mid1=9&mid2=8,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,11.5,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231,102231,102231.9
8,DEF,7,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=7&mid2=5,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,9,WeEatinGOOD,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.7
8,DEF,7,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=7&mid2=6,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,7,WeEatinGOOD,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.7
8,DEF,7,1,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=6&mid1=7&mid2=1,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,1.5,WeEatinGOOD,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.7
8,DEF,7,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=7&mid1=7&mid2=2,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,8,WeEatinGOOD,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.7
